order_id,order_date,expected_delivery_date,actual_delivery_date,distance_km,traffic_level,weather,warehouse_delay,vehicle_type,delivery_delay_days,delayed,order_month,root_cause,delay_risk_score,ml_explanation
1033,2023-07-07,2023-07-11,2023-07-14,254.8,High,Rain,No,Truck,3,1,7,Traffic Congestion,0.9562755950737387,"High traffic conditions, Adverse weather conditions"
1034,2023-09-28,2023-09-29,2023-09-30,453.9,Medium,Rain,No,Truck,1,1,9,Weather Disruption,0.7231431162371977,"Adverse weather conditions, Long delivery distance"
1035,2023-07-09,2023-07-14,2023-07-19,125.4,Low,Storm,No,Bike,5,1,7,Weather Disruption,0.8890785334728156,Adverse weather conditions
1036,2023-06-24,2023-06-28,2023-06-27,205.8,Low,Clear,No,Truck,-1,0,6,On-Time,0.3451121155269797,No strong risk factors detected
1037,2023-02-20,2023-02-21,2023-02-24,378.0,Medium,Clear,Yes,Truck,3,1,2,Warehouse Processing Delay,0.8389970651990553,"Warehouse processing delay, Long delivery distance"
1038,2023-12-30,2023-12-31,2024-01-01,115.2,Low,Rain,No,Truck,1,1,12,Weather Disruption,0.7263769736678827,Adverse weather conditions
1039,2023-02-24,2023-02-26,2023-02-26,39.4,Low,Clear,Yes,Van,0,0,2,On-Time,0.868865829913034,Warehouse processing delay
1040,2023-09-01,2023-09-05,2023-09-05,145.6,Medium,Clear,No,Van,0,0,9,On-Time,0.4544646205811945,No strong risk factors detected
1041,2023-11-16,2023-11-17,2023-11-17,81.4,Medium,Clear,No,Bike,0,0,11,On-Time,0.413411251049796,No strong risk factors detected
1042,2023-05-11,2023-05-16,2023-05-16,464.9,Medium,Clear,No,Truck,0,0,5,On-Time,0.35276801542955827,Long delivery distance
1043,2023-11-03,2023-11-08,2023-11-11,404.3,Low,Storm,No,Truck,3,1,11,Weather Disruption,0.8687484510339099,"Adverse weather conditions, Long delivery distance"
1044,2023-05-15,2023-05-17,2023-05-20,317.1,Medium,Rain,No,Bike,3,1,5,Weather Disruption,0.7431546628405158,"Adverse weather conditions, Long delivery distance"
1045,2023-01-21,2023-01-23,2023-01-25,435.9,Low,Rain,No,Bike,2,1,1,Weather Disruption,0.6882119462136836,"Adverse weather conditions, Long delivery distance"
1046,2023-11-25,2023-11-27,2023-11-27,402.0,Medium,Clear,No,Van,0,0,11,On-Time,0.41497915286311154,Long delivery distance
1047,2023-06-16,2023-06-17,2023-06-16,94.1,Medium,Clear,No,Van,-1,0,6,On-Time,0.46248182283225425,No strong risk factors detected
1048,2023-10-01,2023-10-04,2023-10-04,446.4,Medium,Clear,No,Truck,0,0,10,On-Time,0.35542109162038904,Long delivery distance
1049,2023-03-30,2023-04-03,2023-04-04,270.1,High,Clear,No,Bike,1,1,3,Traffic Congestion,0.8222970348184462,High traffic conditions
1050,2023-11-12,2023-11-15,2023-11-15,403.9,Medium,Clear,No,Truck,0,0,11,On-Time,0.36154953617171487,Long delivery distance
1051,2023-01-14,2023-01-17,2023-01-19,448.1,Medium,Rain,No,Van,2,1,1,Weather Disruption,0.7663433734102512,"Adverse weather conditions, Long delivery distance"
1052,2023-08-30,2023-09-03,2023-09-07,159.7,Low,Rain,Yes,Truck,4,1,8,Weather Disruption,0.9589718856528319,"Adverse weather conditions, Warehouse processing delay"
1053,2023-09-22,2023-09-26,2023-09-26,55.9,Medium,Clear,No,Van,0,0,9,On-Time,0.4684413553338383,No strong risk factors detected
1054,2023-12-12,2023-12-17,2023-12-22,114.7,Low,Storm,Yes,Truck,5,1,12,Weather Disruption,0.9862750037654477,"Adverse weather conditions, Warehouse processing delay"
1055,2023-02-22,2023-02-26,2023-02-26,214.1,Low,Rain,No,Van,0,0,2,On-Time,0.7573744648753113,Adverse weather conditions
1056,2023-12-06,2023-12-08,2023-12-10,409.2,High,Clear,No,Van,2,1,12,Traffic Congestion,0.8391958455028203,"High traffic conditions, Long delivery distance"
1057,2023-04-02,2023-04-05,2023-04-07,430.5,Medium,Rain,No,Van,2,1,4,Weather Disruption,0.7683136466349215,"Adverse weather conditions, Long delivery distance"
1058,2023-09-21,2023-09-22,2023-09-22,4.5,High,Clear,No,Bike,0,0,9,On-Time,0.8453424621202942,High traffic conditions
1059,2023-02-04,2023-02-06,2023-02-09,255.9,Medium,Clear,Yes,Truck,3,1,2,Warehouse Processing Delay,0.8490725666812127,Warehouse processing delay
1060,2023-07-25,2023-07-28,2023-07-29,209.3,Medium,Clear,Yes,Truck,1,1,7,Warehouse Processing Delay,0.8527789673314659,Warehouse processing delay
1061,2023-03-22,2023-03-27,2023-03-29,111.8,Medium,Rain,No,Truck,2,1,3,Weather Disruption,0.7639781658980088,Adverse weather conditions
1062,2023-02-19,2023-02-22,2023-02-22,60.8,Medium,Clear,No,Truck,0,0,2,On-Time,0.4125316250416531,No strong risk factors detected
1063,2023-12-26,2023-12-27,2023-12-29,169.5,Medium,Clear,Yes,Van,2,1,12,Warehouse Processing Delay,0.8813791622290356,Warehouse processing delay
1064,2023-01-02,2023-01-06,2023-01-08,471.5,Low,Clear,Yes,Truck,2,1,1,Warehouse Processing Delay,0.8015470635262044,"Warehouse processing delay, Long delivery distance"
1065,2023-02-23,2023-02-25,2023-02-25,162.3,Medium,Clear,No,Truck,0,0,2,On-Time,0.3971980853893291,No strong risk factors detected
1066,2023-04-16,2023-04-20,2023-04-24,259.9,Low,Rain,Yes,Truck,4,1,4,Weather Disruption,0.9564273582221664,"Adverse weather conditions, Warehouse processing delay"
1067,2023-09-17,2023-09-22,2023-09-22,351.8,Low,Rain,No,Van,0,0,9,On-Time,0.7411579872345063,"Adverse weather conditions, Long delivery distance"
1068,2023-11-06,2023-11-11,2023-11-11,182.5,Medium,Clear,No,Van,0,0,11,On-Time,0.44873449658840836,No strong risk factors detected
1069,2023-07-10,2023-07-13,2023-07-14,485.9,Low,Clear,Yes,Van,1,1,7,Warehouse Processing Delay,0.8335497447226273,"Warehouse processing delay, Long delivery distance"
1070,2023-08-06,2023-08-11,2023-08-14,481.3,High,Clear,Yes,Truck,3,1,8,Traffic Congestion,0.9730434578616701,"High traffic conditions, Warehouse processing delay, Long delivery distance"
1071,2023-02-13,2023-02-15,2023-02-15,126.6,High,Clear,No,Van,0,0,2,On-Time,0.8616970058445683,High traffic conditions
1072,2023-06-11,2023-06-16,2023-06-17,249.1,High,Clear,No,Bike,1,1,6,Traffic Congestion,0.824213004197272,High traffic conditions
1073,2023-07-21,2023-07-22,2023-07-22,151.1,Medium,Clear,No,Van,0,0,7,On-Time,0.4536097342098491,No strong risk factors detected
1074,2023-09-27,2023-10-01,2023-10-01,143.1,Low,Clear,No,Van,0,0,9,On-Time,0.40679149361356454,No strong risk factors detected
1075,2023-12-17,2023-12-22,2023-12-25,19.4,High,Rain,No,Bike,3,1,12,Traffic Congestion,0.9626475541462639,"High traffic conditions, Adverse weather conditions"
1076,2023-10-31,2023-11-02,2023-11-04,305.2,Medium,Rain,No,Van,2,1,10,Weather Disruption,0.7820036204751256,"Adverse weather conditions, Long delivery distance"
1077,2023-09-28,2023-09-29,2023-09-30,251.8,High,Clear,No,Van,1,1,9,Traffic Congestion,0.8520728518224737,High traffic conditions
1078,2023-08-03,2023-08-04,2023-08-05,26.7,High,Clear,No,Bike,1,1,8,Traffic Congestion,0.843513798529848,High traffic conditions
1079,2023-09-09,2023-09-14,2023-09-18,140.0,High,Rain,Yes,Van,4,1,9,Traffic Congestion,0.9962578552378323,"High traffic conditions, Adverse weather conditions, Warehouse processing delay"
1080,2023-07-09,2023-07-10,2023-07-08,454.2,Low,Clear,No,Truck,-2,0,7,On-Time,0.31080682018649286,Long delivery distance
1081,2023-10-23,2023-10-26,2023-10-28,120.5,Medium,Rain,No,Truck,2,1,10,Weather Disruption,0.7629930927322686,Adverse weather conditions
1082,2023-08-01,2023-08-02,2023-08-03,73.3,High,Rain,No,Bike,1,1,8,Traffic Congestion,0.9614131174889436,"High traffic conditions, Adverse weather conditions"
1083,2023-07-27,2023-07-28,2023-07-28,245.2,Medium,Clear,No,Van,0,0,7,On-Time,0.43902986889034545,No strong risk factors detected
1084,2023-08-25,2023-08-29,2023-08-31,492.8,Low,Clear,Yes,Truck,2,1,8,Warehouse Processing Delay,0.7994140008244361,"Warehouse processing delay, Long delivery distance"
1085,2023-12-04,2023-12-06,2023-12-08,121.8,Medium,Rain,No,Van,2,1,12,Weather Disruption,0.8009717676135644,Adverse weather conditions
1086,2023-02-22,2023-02-25,2023-02-28,336.4,High,Clear,Yes,Van,3,1,2,Traffic Congestion,0.9801809668435091,"High traffic conditions, Warehouse processing delay, Long delivery distance"
1087,2023-10-07,2023-10-08,2023-10-08,381.0,Medium,Clear,No,Bike,0,0,10,On-Time,0.3687133319364721,Long delivery distance
1088,2023-08-05,2023-08-06,2023-08-10,119.6,Medium,Storm,Yes,Van,4,1,8,Weather Disruption,0.9909135562693638,"Adverse weather conditions, Warehouse processing delay"
1089,2023-09-09,2023-09-11,2023-09-12,364.4,Low,Clear,Yes,Truck,1,1,9,Warehouse Processing Delay,0.8120135424120671,"Warehouse processing delay, Long delivery distance"
1090,2023-07-07,2023-07-08,2023-07-09,184.5,Medium,Clear,Yes,Van,1,1,7,Warehouse Processing Delay,0.8803922835082324,Warehouse processing delay
1091,2023-02-10,2023-02-14,2023-02-15,316.5,High,Rain,No,Van,1,1,2,Traffic Congestion,0.963402317677234,"High traffic conditions, Adverse weather conditions, Long delivery distance"
1092,2023-06-06,2023-06-07,2023-06-06,317.1,Low,Clear,No,Van,-1,0,6,On-Time,0.38075398566322766,Long delivery distance
1093,2023-01-15,2023-01-18,2023-01-18,268.4,Medium,Clear,No,Bike,0,0,1,On-Time,0.3852942107022304,No strong risk factors detected
1094,2023-10-28,2023-11-02,2023-11-05,46.1,High,Storm,No,Bike,3,1,10,Traffic Congestion,0.9869707413529099,"High traffic conditions, Adverse weather conditions"
1095,2023-03-06,2023-03-09,2023-03-09,417.8,Medium,Clear,No,Truck,0,0,3,On-Time,0.35954009799023134,Long delivery distance
1096,2023-12-11,2023-12-13,2023-12-17,161.1,Medium,Storm,No,Van,4,1,12,Weather Disruption,0.9214803339618712,Adverse weather conditions
1097,2023-11-23,2023-11-25,2023-11-30,94.1,Medium,Storm,No,Bike,5,1,11,Weather Disruption,0.908641101063761,Adverse weather conditions
1098,2023-01-09,2023-01-13,2023-01-13,21.3,Medium,Clear,No,Van,0,0,1,On-Time,0.47384708407702725,No strong risk factors detected
1099,2023-12-10,2023-12-13,2023-12-13,295.9,Low,Clear,No,Van,0,0,12,On-Time,0.3838931744316836,No strong risk factors detected
1100,2023-05-09,2023-05-11,2023-05-16,339.1,High,Clear,Yes,Truck,5,1,5,Traffic Congestion,0.9752861478303755,"High traffic conditions, Warehouse processing delay, Long delivery distance"
1001,2023-04-13,2023-04-17,2023-04-18,317.54,Low,Rain,Yes,Van,1,1,4,Weather Disruption,0.9636196397002152,"Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1002,2023-12-15,2023-12-18,2023-12-20,340.67,Low,Clear,Yes,Truck,2,1,12,Warehouse Processing Delay,0.8142743277736879,"Warehouse processing delay, Long delivery distance"
1003,2023-09-28,2023-10-01,2023-10-03,265.94,High,Storm,No,Truck,2,1,9,Traffic Congestion,0.9848285221945094,"High traffic conditions, Adverse weather conditions"
1004,2023-04-17,2023-04-18,2023-04-20,224.44,Low,Rain,No,Van,2,1,4,Weather Disruption,0.7561810737066426,Adverse weather conditions
1005,2023-03-13,2023-03-16,2023-03-20,276.89,High,Rain,Yes,Truck,4,1,3,Traffic Congestion,0.9949054583045499,"High traffic conditions, Adverse weather conditions, Warehouse processing delay"
1006,2023-07-08,2023-07-11,2023-07-11,296.76,Medium,Rain,Yes,Van,0,0,7,On-Time,0.9702828278756992,"Adverse weather conditions, Warehouse processing delay"
1007,2023-01-21,2023-01-22,2023-01-22,41.35,Low,Clear,No,Bike,0,0,1,On-Time,0.3726339577521312,No strong risk factors detected
1008,2023-04-13,2023-04-16,2023-04-17,185.46,Medium,Clear,No,Truck,1,1,4,Operational Issues,0.39372627373124347,No strong risk factors detected
1009,2023-05-02,2023-05-07,2023-05-10,121.84,High,Clear,Yes,Truck,3,1,5,Traffic Congestion,0.9783655514793409,"High traffic conditions, Warehouse processing delay"
1010,2023-08-03,2023-08-05,2023-08-06,401.77,Medium,Clear,Yes,Van,1,1,8,Warehouse Processing Delay,0.8652869790175273,"Warehouse processing delay, Long delivery distance"
1011,2023-11-27,2023-11-29,2023-12-02,235.68,Medium,Clear,Yes,Truck,3,1,11,Warehouse Processing Delay,0.8506901320488013,Warehouse processing delay
1012,2023-03-29,2023-03-30,2023-04-03,491.73,High,Storm,No,Truck,4,1,3,Traffic Congestion,0.9825613237847272,"High traffic conditions, Adverse weather conditions, Long delivery distance"
1013,2023-04-10,2023-04-14,2023-04-15,200.01,Medium,Storm,No,Truck,1,1,4,Weather Disruption,0.9015174432089391,Adverse weather conditions
1014,2023-12-26,2023-12-27,2023-12-27,408.4,Medium,Clear,No,Truck,0,0,12,On-Time,0.36089846428622574,Long delivery distance
1015,2023-06-01,2023-06-05,2023-06-10,399.37,High,Rain,Yes,Truck,5,1,6,Traffic Congestion,0.9945010218327591,"High traffic conditions, Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1016,2023-05-11,2023-05-13,2023-05-14,76.21,Medium,Clear,Yes,Van,1,1,5,Warehouse Processing Delay,0.8873597906383224,Warehouse processing delay
1017,2023-05-30,2023-05-31,2023-06-03,254.59,High,Storm,No,Truck,3,1,5,Traffic Congestion,0.9849344909751437,"High traffic conditions, Adverse weather conditions"
1018,2023-11-05,2023-11-10,2023-11-14,348.21,Medium,Storm,No,Van,4,1,11,Weather Disruption,0.9125605530003551,"Adverse weather conditions, Long delivery distance"
1019,2023-09-15,2023-09-18,2023-09-24,429.32,High,Rain,Yes,Truck,6,1,9,Traffic Congestion,0.9943973610577698,"High traffic conditions, Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1020,2023-12-10,2023-12-14,2023-12-18,163.65,High,Storm,No,Van,4,1,12,Traffic Congestion,0.9885836208459708,"High traffic conditions, Adverse weather conditions"
1021,2023-10-21,2023-10-24,2023-10-24,110.9,Medium,Clear,No,Van,0,0,10,On-Time,0.4598641654024905,No strong risk factors detected
1022,2023-07-11,2023-07-14,2023-07-15,355.86,Medium,Rain,Yes,Truck,1,1,7,Weather Disruption,0.9617558620358587,"Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1023,2023-10-04,2023-10-05,2023-10-05,404.94,Medium,Clear,No,Truck,0,0,10,On-Time,0.3613990209372272,Long delivery distance
1024,2023-06-10,2023-06-13,2023-06-15,174.98,Low,Clear,Yes,Truck,2,1,6,Warehouse Processing Delay,0.8294762560723034,Warehouse processing delay
1025,2023-11-10,2023-11-15,2023-11-17,48.99,Low,Rain,Yes,Van,2,1,11,Weather Disruption,0.9690834068500856,"Adverse weather conditions, Warehouse processing delay"
1026,2023-01-22,2023-01-25,2023-01-27,470.32,Low,Clear,Yes,Truck,2,1,1,Warehouse Processing Delay,0.8016647327765289,"Warehouse processing delay, Long delivery distance"
1027,2023-09-10,2023-09-11,2023-09-15,199.39,High,Storm,Yes,Truck,4,1,9,Traffic Congestion,0.9983706914540001,"High traffic conditions, Adverse weather conditions, Warehouse processing delay"
1028,2023-08-24,2023-08-29,2023-08-29,259.36,Medium,Clear,Yes,Truck,0,0,8,On-Time,0.8487943332701087,Warehouse processing delay
1029,2023-12-11,2023-12-13,2023-12-16,419.02,High,Rain,Yes,Van,3,1,12,Traffic Congestion,0.9955455712745934,"High traffic conditions, Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1030,2023-02-18,2023-02-21,2023-02-24,338.17,Low,Rain,Yes,Truck,3,1,2,Weather Disruption,0.9543356436033005,"Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1031,2023-02-28,2023-03-01,2023-03-02,367.87,Medium,Rain,No,Truck,1,1,2,Weather Disruption,0.7338120329062557,"Adverse weather conditions, Long delivery distance"
1032,2023-06-19,2023-06-21,2023-06-24,105.33,High,Clear,Yes,Bike,3,1,6,Traffic Congestion,0.9789276125467031,"High traffic conditions, Warehouse processing delay"
1033,2023-07-07,2023-07-09,2023-07-11,271.18,Medium,Rain,Yes,Truck,2,1,7,Weather Disruption,0.9636616857979237,"Adverse weather conditions, Warehouse processing delay"
1034,2023-09-28,2023-10-02,2023-10-03,348.2,High,Rain,No,Truck,1,1,9,Traffic Congestion,0.9537603479033436,"High traffic conditions, Adverse weather conditions, Long delivery distance"
1035,2023-07-09,2023-07-14,2023-07-15,115.05,Medium,Clear,No,Truck,1,1,7,Operational Issues,0.404312969310643,No strong risk factors detected
1036,2023-06-24,2023-06-27,2023-06-28,88.3,Low,Storm,No,Truck,1,1,6,Weather Disruption,0.8897392830224817,Adverse weather conditions
1037,2023-02-20,2023-02-21,2023-02-23,491.1,Low,Clear,Yes,Truck,2,1,2,Warehouse Processing Delay,0.7995848740379121,"Warehouse processing delay, Long delivery distance"
1038,2023-12-30,2024-01-03,2024-01-04,258.8,Medium,Rain,No,Truck,1,1,12,Weather Disruption,0.7469556123123396,Adverse weather conditions
1039,2023-02-24,2023-03-01,2023-03-06,131.15,High,Rain,Yes,Bike,5,1,2,Traffic Congestion,0.9954242906334692,"High traffic conditions, Adverse weather conditions, Warehouse processing delay"
1040,2023-09-01,2023-09-05,2023-09-06,498.13,Low,Clear,Yes,Truck,1,1,9,Warehouse Processing Delay,0.7988775557001017,"Warehouse processing delay, Long delivery distance"
1041,2023-11-16,2023-11-21,2023-11-24,482.74,Low,Storm,Yes,Truck,3,1,11,Weather Disruption,0.9827737202616593,"Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1042,2023-05-11,2023-05-16,2023-05-20,279.59,Low,Rain,Yes,Van,4,1,5,Weather Disruption,0.9644447090630327,"Adverse weather conditions, Warehouse processing delay"
1043,2023-11-03,2023-11-06,2023-11-06,441.44,Medium,Rain,No,Truck,0,0,11,On-Time,0.7247045740899327,"Adverse weather conditions, Long delivery distance"
1044,2023-05-15,2023-05-20,2023-05-20,95.16,Medium,Rain,No,Bike,0,0,5,On-Time,0.7688082405316448,Adverse weather conditions
1045,2023-01-21,2023-01-25,2023-01-26,140.16,High,Clear,Yes,Van,1,1,1,Traffic Congestion,0.9824353069865427,"High traffic conditions, Warehouse processing delay"
1046,2023-11-25,2023-11-30,2023-12-04,350.48,High,Rain,Yes,Van,4,1,11,Traffic Congestion,0.9957321538461621,"High traffic conditions, Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1047,2023-06-16,2023-06-19,2023-06-25,423.48,High,Storm,Yes,Van,6,1,6,Traffic Congestion,0.9985010513764608,"High traffic conditions, Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1048,2023-10-01,2023-10-04,2023-10-04,428.31,Medium,Rain,No,Truck,0,0,10,On-Time,0.7263440721565613,"Adverse weather conditions, Long delivery distance"
1049,2023-03-30,2023-04-03,2023-04-07,202.85,Medium,Rain,Yes,Truck,4,1,3,Weather Disruption,0.9651325886641253,"Adverse weather conditions, Warehouse processing delay"
1050,2023-11-12,2023-11-14,2023-11-18,444.0,High,Storm,Yes,Truck,4,1,11,Traffic Congestion,0.9981011194231949,"High traffic conditions, Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1051,2023-01-14,2023-01-16,2023-01-19,425.61,High,Rain,No,Truck,3,1,1,Traffic Congestion,0.9515719450764557,"High traffic conditions, Adverse weather conditions, Long delivery distance"
1052,2023-08-30,2023-09-04,2023-09-04,467.88,Medium,Clear,No,Truck,0,0,8,On-Time,0.3523414976141183,Long delivery distance
1053,2023-09-22,2023-09-23,2023-09-26,392.88,High,Clear,Yes,Truck,3,1,9,Traffic Congestion,0.9744601862099005,"High traffic conditions, Warehouse processing delay, Long delivery distance"
1054,2023-12-12,2023-12-17,2023-12-17,334.83,Low,Clear,No,Van,0,0,12,On-Time,0.37813623719328776,Long delivery distance
1055,2023-02-22,2023-02-26,2023-02-28,290.76,Medium,Storm,No,Truck,2,1,2,Weather Disruption,0.8963486489347761,Adverse weather conditions
1056,2023-12-06,2023-12-10,2023-12-14,186.77,High,Rain,Yes,Van,4,1,12,Traffic Congestion,0.9961469156913626,"High traffic conditions, Adverse weather conditions, Warehouse processing delay"
1057,2023-04-02,2023-04-06,2023-04-07,470.13,Medium,Clear,No,Truck,1,1,4,Long Distance,0.35201961821706107,Long delivery distance
1058,2023-09-21,2023-09-25,2023-09-30,486.86,Low,Storm,Yes,Van,5,1,9,Weather Disruption,0.9861482329976703,"Adverse weather conditions, Warehouse processing delay, Long delivery distance"
1059,2023-02-04,2023-02-08,2023-02-09,142.68,Medium,Rain,No,Van,1,1,2,Weather Disruption,0.7988763905159699,Adverse weather conditions
1060,2023-07-25,2023-07-28,2023-08-03,153.38,Medium,Storm,Yes,Van,6,1,7,Weather Disruption,0.9907208464789886,"Adverse weather conditions, Warehouse processing delay"
1061,2023-03-22,2023-03-24,2023-03-26,243.32,Medium,Clear,Yes,Van,2,1,3,Warehouse Processing Delay,0.8764537185694585,Warehouse processing delay
1062,2023-02-19,2023-02-23,2023-02-23,224.76,Medium,Clear,Yes,Van,0,0,2,On-Time,0.877708374272342,Warehouse processing delay
1063,2023-12-26,2023-12-27,2023-12-27,497.23,Low,Clear,No,Truck,0,0,12,On-Time,0.30505696799005527,Long delivery distance
1064,2023-01-02,2023-01-03,2023-01-06,88.79,Medium,Storm,Yes,Van,3,1,1,Weather Disruption,0.9910858620911159,"Adverse weather conditions, Warehouse processing delay"
1065,2023-02-23,2023-02-24,2023-02-28,10.02,Medium,Storm,No,Bike,4,1,2,Weather Disruption,0.9129243344394863,Adverse weather conditions
1066,2023-04-16,2023-04-17,2023-04-19,247.45,High,Clear,Yes,Van,2,1,4,Traffic Congestion,0.9812359320979747,"High traffic conditions, Warehouse processing delay"
1067,2023-09-17,2023-09-20,2023-09-25,90.23,Medium,Storm,Yes,Van,5,1,9,Weather Disruption,0.9910778814636796,"Adverse weather conditions, Warehouse processing delay"
1068,2023-11-06,2023-11-07,2023-11-08,183.87,High,Clear,No,Van,1,1,11,Traffic Congestion,0.8573615452532549,High traffic conditions
1069,2023-07-10,2023-07-14,2023-07-15,372.34,Low,Clear,Yes,Truck,1,1,7,Warehouse Processing Delay,0.8112523824603128,"Warehouse processing delay, Long delivery distance"
1070,2023-08-06,2023-08-11,2023-08-14,360.75,Low,Rain,Yes,Van,3,1,8,Weather Disruption,0.9626577811249392,"Adverse weather conditions, Warehouse processing delay, Long delivery distance"
